"Utterance","Speaker","Dialogue_ID","Start_Time","End_Time","Wav_Path","Video_Path","Emotion"
"[Current] Emily: Excuse me.","Ses01F_impro01_F000","Ses01F_impro01","6.2901","8.2357","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi","neu"
"[Previous] Emily: Excuse me. </s></s> [Current] Ethan: Do you have your forms?","Ses01F_impro01_M000","Ses01F_impro01","7.5712","10.475","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M000.wav","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi","fru"
"[Previous] Emily: Excuse me. </s></s> Ethan: Do you have your forms? </s></s> [Current] Emily: Yeah.","Ses01F_impro01_F001","Ses01F_impro01","10.01","11.3925","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi","neu"
"[Previous] Emily: Excuse me. </s></s> Ethan: Do you have your forms? </s></s> Emily: Yeah. </s></s> [Current] Ethan: Let me see them.","Ses01F_impro01_M001","Ses01F_impro01","10.9266","14.6649","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M001.wav","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi","fru"
"[Previous] Emily: Excuse me. </s></s> Ethan: Do you have your forms? </s></s> Emily: Yeah. </s></s> Ethan: Let me see them. </s></s> [Current] Emily: Is there a problem?","Ses01F_impro01_F002","Ses01F_impro01","14.8872","18.0175","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi","neu"
"[Previous] Emily: Excuse me. </s></s> Ethan: Do you have your forms? </s></s> Emily: Yeah. </s></s> Ethan: Let me see them. </s></s> Emily: Is there a problem? </s></s> [Current] Ethan: Who told you to get in this line?","Ses01F_impro01_M002","Ses01F_impro01","16.8352","19.7175","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M002.wav","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi","fru"
"[Previous] Ethan: Do you have your forms? </s></s> Emily: Yeah. </s></s> Ethan: Let me see them. </s></s> Emily: Is there a problem? </s></s> Ethan: Who told you to get in this line? </s></s> [Current] Ethan: Okay. But I didn't tell you to get in this line if you are filling out this particular form.","Ses01F_impro01_M003","Ses01F_impro01","23.47","28.03","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M003.wav","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi","fru"
"[Previous] Emily: Yeah. </s></s> Ethan: Let me see them. </s></s> Emily: Is there a problem? </s></s> Ethan: Who told you to get in this line? </s></s> Ethan: Okay. But I didn't tell you to get in this line if you are filling out this particular form. </s></s> [Current] Emily: Well what's the problem?  Let me change it.","Ses01F_impro01_F005","Ses01F_impro01","27.46","31.49","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi","neu"
"[Previous] Ethan: Let me see them. </s></s> Emily: Is there a problem? </s></s> Ethan: Who told you to get in this line? </s></s> Ethan: Okay. But I didn't tell you to get in this line if you are filling out this particular form. </s></s> Emily: Well what's the problem?  Let me change it. </s></s> [Current] Ethan: This form is a Z.X.four.","Ses01F_impro01_M004","Ses01F_impro01","28.395","31.2117","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M004.wav","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi","fru"
"[Previous] Emily: Is there a problem? </s></s> Ethan: Who told you to get in this line? </s></s> Ethan: Okay. But I didn't tell you to get in this line if you are filling out this particular form. </s></s> Emily: Well what's the problem?  Let me change it. </s></s> Ethan: This form is a Z.X.four. </s></s> [Current] Ethan: You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.","Ses01F_impro01_M005","Ses01F_impro01","31.266","39.3875","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M005.wav","/home/dilab/Seong/data/IEMOCAP_full_release/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi","fru"
